                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                                 Variable                                                   Percent
        S206C      Daughters living abroad                                                                             99.54 
        S206D      Sons living abroad                                                                                  99.54 
        S207A      Daughters living in Venezuela                                                                       99.93 
        S207B      Sons living in Venezuela                                                                            99.88 
        S207C      Daughters living in U.S.A                                                                           99.97 
        S207D      Sons living in U.S.A.                                                                               99.98 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                     Variable                                                                           Percent
                       Name      Variable Label                                                         Missing

                     S207E       Daughters living in Spain                                               99.99 
                     S207F       Sons living in Spain                                                   100.00 
                     S207G       Daughters living in Ecuador                                             99.96 
                     S207H       Sons living in Ecuador                                                  99.98 
                     S207I       Daughters living in Panama                                             100.00 
                     S207J       Sons living in Panama                                                  100.00 
                     S207M       Daughters living in other countries                                     99.91 
                     S207N       Sons living in other countries                                          99.89 
                     S213        All respondent's children from the same father                          34.21 
                     S225A       Age at first child (provided by respondent)                              0.00 
                     S225B       Age biological father at first child                                     0.00 
                     S233        Was afraid to tell partner about your pregnancy                         95.99 
                     S234        Current pregnancy was a couple's decision                               95.99 
                     S235        Place for prenatal check-up of current pregnancy                        95.99 
                     S236        Months of pregnancy at first prenatal check-up                          97.17 
                     S238A       Reason no prenatal check-up: personal                                   98.83 
                     S238B       Reason no prenatal check-up: health services related inconveniences     98.83 
                     S238C       Reason no prenatal check-up: economic                                   98.83 
                     S238D       Reason no prenatal check-up: too much paper work                        98.83 
                     S238E       Reason no prenatal check-up: lack of knowledge                          98.83 
                     S238F       Reason no prenatal check-up: others opposed                             98.83 
                     S238G       Reason no prenatal check-up: don't have health insurance                98.83 
                     S238H       Reason no prenatal check-up: didn't know that had access to service     98.83 
                     S238X       Reason no prenatal check-up: other                                      98.83 
                     S239        Days respondent was hospitalized during current pregnancy               95.99 
                     S240A       Reason for hospitalization: infection                                    3.41 
                     S240B       Reason for hospitalization: bleeding                                     3.41 
                     S240C       Reason for hospitalization: hypertension                                 3.41 
                     S240D       Reason for hospitalization: convulsions                                  3.41 
                     S240E       Reason for hospitalization: threat of abortion/miscarriage               3.41 
                     S240F       Reason for hospitalization: membrane breakup                             3.41 
                     S240G       Reason for hospitalization: physical aggression                          3.41 
                     S240X       Reason for hospitalization: other                                        3.41 
                     S242        Total number of terminations                                             0.00 
                     S243_1      Termination line number                                                 80.84 
                     S243_2      Termination line number                                                 96.71 
                     S243_3      Termination line number                                                 99.29 
                     S243_4      Termination line number                                                 99.80 
                     S243_5      Termination line number                                                 99.92 
                     S243_6      Termination line number                                                 99.97 
                     S243_7      Termination line number                                                 99.97 
                     S243_8      Termination line number                                                100.00 
                     S244M_1     Termination month                                                       80.84 
                     S244M_2     Termination month                                                       96.71 
                     S244M_3     Termination month                                                       99.29 
                     S244M_4     Termination month                                                       99.80 
                     S244M_5     Termination month                                                       99.92 
                     S244M_6     Termination month                                                       99.97 
                     S244M_7     Termination month                                                       99.97 
                     S244M_8     Termination month                                                      100.00 
                     S244Y_1     Termination year                                                        80.84 
                     S244Y_2     Termination year                                                        96.71 
                     S244Y_3     Termination year                                                        99.29 
                     S244Y_4     Termination year                                                        99.80 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                             Variable                                                           Percent
                               Name      Variable Label                                         Missing

                             S244Y_5     Termination year                                        99.92 
                             S244Y_6     Termination year                                        99.97 
                             S244Y_7     Termination year                                        99.97 
                             S244Y_8     Termination year                                       100.00 
                             S245_1      Age at termination                                      80.84 
                             S245_2      Age at termination                                      96.71 
                             S245_3      Age at termination                                      99.29 
                             S245_4      Age at termination                                      99.80 
                             S245_5      Age at termination                                      99.92 
                             S245_6      Age at termination                                      99.97 
                             S245_7      Age at termination                                      99.97 
                             S245_8      Age at termination                                     100.00 
                             S246_1      Termination type                                        80.84 
                             S246_2      Termination type                                        96.71 
                             S246_3      Termination type                                        99.29 
                             S246_4      Termination type                                        99.80 
                             S246_5      Termination type                                        99.92 
                             S246_6      Termination type                                        99.97 
                             S246_7      Termination type                                        99.97 
                             S246_8      Termination type                                       100.00 
                             S247_1      Termination months of pregnancy                         80.84 
                             S247_2      Termination months of pregnancy                         96.71 
                             S247_3      Termination months of pregnancy                         99.29 
                             S247_4      Termination months of pregnancy                         99.80 
                             S247_5      Termination months of pregnancy                         99.92 
                             S247_6      Termination months of pregnancy                         99.97 
                             S247_7      Termination months of pregnancy                         99.97 
                             S247_8      Termination months of pregnancy                        100.00 
                             S251        Place where care was provided for last termination      80.84 
                             S252        Age at first menstruation                                0.00 
                             S302_01     Source of information for method                         3.94 
                             S302_02     Source of information for method                        14.72 
                             S302_03     Source of information for method                         2.08 
                             S302_04     Source of information for method                       100.00 
                             S302_05     Source of information for method                         3.27 
                             S302_06     Source of information for method                         5.07 
                             S302_07     Source of information for method                        20.90 
                             S302_08     Source of information for method                        35.66 
                             S302_09     Source of information for method                        23.85 
                             S302_10     Source of information for method                        87.43 
                             S302_11     Source of information for method                         6.45 
                             S302_12     Source of information for method                       100.00 
                             S302_13     Source of information for method                        54.60 
                             S302_14     Source of information for method                       100.00 
                             S302_15     Source of information for method                        74.37 
                             S302_16     Source of information for method                        36.06 
                             S302_17     Source of information for method                        85.48 
                             S302_18     Source of information for method                       100.00 
                             S302_19     Source of information for method                       100.00 
                             S302_20     Source of information for method                        76.62 
                             S313        What days during menstrual cycle shouldn't have sex     98.88 
                             S316        Regret sterilization                                    75.70 
                             S317        Reason regret sterilization                             97.21 
                             S332        Ever been forced to use a contraceptive method           0.00 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                  Variable                                                                                Percent
                    Name      Variable Label                                                              Missing

                   S333A      Forced to use contraception by: mother/father                                 0.00 
                   S333B      Forced to use contraception by: step-mother/step-father                       0.00 
                   S333C      Forced to use contraception by: ex-husband/partner                            0.00 
                   S333D      Forced to use contraception by: boyfriend                                     0.00 
                   S333E      Forced to use contraception by: ex-boyfriend                                  0.00 
                   S333F      Forced to use contraception by: husband/partner                               0.00 
                   S333X      Forced to use contraception by: other                                         0.00 
                   S334       Do you know that health insurance must provide method with no copay           0.00 
                   S412       Months of pregnant at last control prenatal                                  19.18 
                   S413B      Was uterine height measured                                                  18.16 
                   S413F      Did hear the bay's heartbeat                                                 18.16 
                   S414A      Told about pregnancy physical complications                                  15.15 
                   S414B      Told about physical and emotional changes during pregnancy                   15.15 
                   S416A      Reason didn't have prenatal care: personal reasons                           96.99 
                   S416B      Reason didn't have prenatal care: health services                            96.99 
                   S416C      Reason didn't have prenatal care: economic reasons                           96.99 
                   S416D      Reason didn't have prenatal care: authorization problems                     96.99 
                   S416E      Reason didn't have prenatal care: lack of knowledge                          96.99 
                   S416F      Reason didn't have prenatal care: Opposition                                 96.99 
                   S416G      Reason didn't have prenatal care: wasn't affiliated to health insurance      96.99 
                   S416H      Reason didn't have prenatal care: didn't know that could use the service     96.99 
                   S416X      Reason didn't have prenatal care: other                                      96.99 
                   S420       Health insurance provided iron                                               20.43 
                   S421       Months took iron supplement during pregnancy                                 23.41 
                   S422       During pregnancy was prescribed calcium supplements                          15.15 
                   S423       Health insurance provided calcium supplements                                21.33 
                   S424       Months took calcium supplement                                               24.36 
                   S425       During pregnancy was prescribed folic acid                                   15.15 
                   S426       Health insurance provided folic acid                                         20.95 
                   S427       Months took folic acid                                                       23.64 
                   S428       During pregnancy took alcoholic beverages                                    15.15 
                   S429       Number of drinks (glasses) took in a week                                    91.09 
                   S430       During pregnancy smoked cigarettes                                           15.15 
                   S431       Number of cigarettes smoked daily                                            98.62 
                   S433A      During pregnancy smoked marijuana                                            15.15 
                   S433B      During pregnancy smoked used crack                                           15.15 
                   S433C      During pregnancy used cocaine                                                15.15 
                   S433X      During pregnancy used other                                                  15.15 
                   S434       Frequency took the drug most commonly used                                   99.69 
                   S437       Hospitalized during pregnancy                                                15.15 
                   S438A      Reason hospitalization: infection                                            77.57 
                   S438B      Reason hospitalization: bleeding                                             77.57 
                   S438C      Reason hospitalization: hypertension                                         77.57 
                   S438D      Reason hospitalization: convulsions                                          77.57 
                   S438E      Reason hospitalization: abortion threat                                      77.57 
                   S438F      Reason hospitalization: broken membranes                                     77.57 
                   S438G      Reason hospitalization: violence within family                               77.57 
                   S438H      Reason hospitalization: problems with the baby                               77.57 
                   S438I      Reason hospitalization: mother illness                                       77.57 
                   S438J      Reason hospitalization: preeclampsia                                         77.57 
                   S438X      Reason hospitalization: other                                                77.57 
                   S441       Caesarean was programmed or an urgency                                       60.96 
                   S444A      Complications at delivery: prolonged labor                                   15.15 
                   S444B      Complications at delivery: excessive bleeding                                15.15 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                  Variable                                                                                Percent
                    Name      Variable Label                                                              Missing

                  S444C       Complications at delivery: fever with vaginal discharge                      15.15 
                  S444D       Complications at delivery: convulsions                                       15.15 
                  S444E       Complications at delivery: other                                             15.15 
                  S445        Was a premature child                                                         0.00 
                  S446        Number of weeks pregnant at delivery                                          0.00 
                  S449        Was child measured at birth                                                   0.00 
                  S450        Height of child at birth (centimeters)                                        9.20 
                  S452A       Complications after delivery: excessive bleeding                             15.15 
                  S452B       Complications after delivery: loss of conscience                             15.15 
                  S452C       Complications after delivery: fever, high temperature                        15.15 
                  S452D       Complications after delivery: breast infection                               15.15 
                  S452E       Complications after delivery: pain when urinate                              15.15 
                  S452F       Complications after delivery: vaginal discharges                             15.15 
                  S452G       Complications after delivery: involuntary loss of urine                      15.15 
                  S452H       Complications after delivery: postpartum depression                          15.15 
                  S454        Received medical attention because of complications                          71.77 
                  S457A       Postpartum check-up by: doctor                                               38.59 
                  S457B       Postpartum check-up by: nurse                                                38.59 
                  S457C       Postpartum check-up by: auxiliary nurse                                      38.59 
                  S457D       Postpartum check-up by: traditional birth attendant                          38.59 
                  S457X       Postpartum check-up by: other                                                38.59 
                  S458A       Received post-partum contraception information                               38.59 
                  S458B       When contraception post-partum information was received                      58.58 
                  S458C       Was post-partum contraception method provided immediately                    58.58 
                  S459A       Reason for no postpartum check-up: personal reasons                          76.56 
                  S459B       Reason for no postpartum check-up: health services                           76.56 
                  S459C       Reason for no postpartum check-up: economic reasons                          76.56 
                  S459D       Reason for no postpartum check-up: authorization related problems            76.56 
                  S459E       Reason for no postpartum check-up: lack of knowledge                         76.56 
                  S459F       Reason for no postpartum check-up: Opposition                                76.56 
                  S459G       Reason for no postpartum check-up: wasn't affiliated to health insurance     76.56 
                  S459H       Reason for no postpartum check-up: didn't know that service was provided     76.56 
                  S459X       Reason for no postpartum check-up: other                                     76.56 
                  S465        Duration of abstinence after birth                                            7.20 
                  S600        Respondent's sexual orientation                                               0.00 
                  S606        Number of unions                                                              0.00 
                  S607A_1     Age at union                                                                 98.12 
                  S607A_2     Age at union                                                                 99.72 
                  S607A_3     Age at union                                                                 99.95 
                  S607A_4     Age at union                                                                100.00 
                  S607A_5     Age at union                                                                100.00 
                  S607M_1     Month union started                                                          10.39 
                  S607M_2     Month union started                                                          78.38 
                  S607M_3     Month union started                                                          96.67 
                  S607M_4     Month union started                                                          99.71 
                  S607M_5     Month union started                                                          99.91 
                  S607N_1     Order number                                                                 10.39 
                  S607N_2     Order number                                                                 78.38 
                  S607N_3     Order number                                                                 96.67 
                  S607N_4     Order number                                                                 99.71 
                  S607N_5     Order number                                                                 99.91 
                  S607Y_1     Year union started                                                           10.39 
                  S607Y_2     Year union started                                                           78.38 
                  S607Y_3     Year union started                                                           96.67 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                            Variable                                                            Percent
                              Name      Variable Label                                          Missing

                            S607Y_4     Year union started                                       99.71 
                            S607Y_5     Year union started                                       99.91 
                            S608_1      Sex of partner                                           10.39 
                            S608_2      Sex of partner                                           78.38 
                            S608_3      Sex of partner                                           96.67 
                            S608_4      Sex of partner                                           99.71 
                            S608_5      Sex of partner                                           99.91 
                            S609_1      Partner's age                                            10.39 
                            S609_2      Partner's age                                            78.38 
                            S609_3      Partner's age                                            96.67 
                            S609_4      Partner's age                                            99.71 
                            S609_5      Partner's age                                            99.91 
                            S610_1      Union type                                               10.39 
                            S610_2      Union type                                               78.38 
                            S610_3      Union type                                               96.67 
                            S610_4      Union type                                               99.71 
                            S610_5      Union type                                               99.91 
                            S611_1      Got married later with partner                           18.47 
                            S611_2      Got married later with partner                           78.98 
                            S611_3      Got married later with partner                           96.75 
                            S611_4      Got married later with partner                           99.71 
                            S611_5      Got married later with partner                           99.91 
                            S612M_1     Month of marriage                                        91.69 
                            S612M_2     Month of marriage                                        98.63 
                            S612M_3     Month of marriage                                        99.85 
                            S612M_4     Month of marriage                                        99.99 
                            S612M_5     Month of marriage                                       100.00 
                            S612Y_1     Year of marriage                                         91.69 
                            S612Y_2     Year of marriage                                         98.63 
                            S612Y_3     Year of marriage                                         99.85 
                            S612Y_4     Year of marriage                                         99.99 
                            S612Y_5     Year of marriage                                        100.00 
                            S613_1      Still lives with partner                                 10.39 
                            S613_2      Still lives with partner                                 78.38 
                            S613_3      Still lives with partner                                 96.67 
                            S613_4      Still lives with partner                                 99.71 
                            S613_5      Still lives with partner                                 99.91 
                            S614M_1     Month stopped living with partner                        67.78 
                            S614M_2     Month stopped living with partner                        93.54 
                            S614M_3     Month stopped living with partner                        99.10 
                            S614M_4     Month stopped living with partner                        99.82 
                            S614M_5     Month stopped living with partner                        99.97 
                            S614Y_1     Year stopped living with partner                         67.78 
                            S614Y_2     Year stopped living with partner                         93.54 
                            S614Y_3     Year stopped living with partner                         99.10 
                            S614Y_4     Year stopped living with partner                         99.82 
                            S614Y_5     Year stopped living with partner                         99.97 
                            S615_1      Reason stopped living with partner                       67.78 
                            S615_2      Reason stopped living with partner                       93.54 
                            S615_3      Reason stopped living with partner                       99.10 
                            S615_4      Reason stopped living with partner                       99.82 
                            S615_5      Reason stopped living with partner                       99.97 
                            S616A       Has ever had sexual intercourse without condoms           0.00 
                            S617        Has ever had anal sexual intercourse                      0.00 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

   Variable                                                                                                              Percent
     Name      Variable Label                                                                                            Missing

   S617A       Has ever had anal sexual intercourse without condoms                                                       82.53 
   S618        Has ever had sexual approaches or intercourse with other women                                              0.00 
   S622A       Has ever felt pressure from friends to have sex (women 13-17 years old)                                    96.75 
   S622B       Had felt pressure from friends before  respondent was 18 years old to have sex (women 18-24 years old)     63.26 
   S628        Sex of first sexual partner                                                                                60.01 
   S631        First sex partner older, age difference                                                                    99.12 
   S632        First sex partner younger, age difference                                                                  99.96 
   S638A       Reason last sexual partner didn't use condom                                                               16.99 
   S638B       Reason next to last sexual partner didn't use condom                                                       97.71 
   S638C       Reason second to last sexual partner didn't use condom                                                     99.78 
   S652        Circumstances under which abortion is legal in Colombia                                                     0.00 
   S653A       Abortion is legal when: woman was raped                                                                    52.92 
   S653B       Abortion is legal when: fetus malformation                                                                 52.92 
   S653C       Abortion is legal when: pregnancy risks the woman's life                                                   52.92 
   S653D       Abortion is legal when: pregnancy risks woman's physical health                                            52.92 
   S653E       Abortion is legal when: pregnancy risks woman's mental health                                              52.92 
   S653F       Abortion is legal when: woman got pregnant from close relative                                             52.92 
   S653G       Abortion is legal when: woman is less than 14 years old                                                    52.92 
   S654A       Abortion should be permitted when: woman was raped                                                          0.19 
   S654B       Abortion should be permitted when: fetus malformation                                                       0.19 
   S654C       Abortion should be permitted when: have too many children                                                   0.19 
   S654D       Abortion should be permitted when: save woman's life                                                        0.19 
   S654E       Abortion should be permitted when: pregnancy risks woman's physical health                                  0.19 
   S654F       Abortion should be permitted when: pregnancy risks woman's mental health                                    0.19 
   S654G       Abortion should be permitted when: woman is single                                                          0.19 
   S654H       Abortion should be permitted when: poor economic situation                                                  0.19 
   S654I       Abortion should be permitted when: contraceptive failed                                                     0.19 
   S654J       Abortion should be permitted when: woman got pregnant from close relative                                   0.19 
   S654K       Abortion should be permitted when: woman is less than 14 years old                                          0.19 
   S654L       Abortion should be permitted when: woman's decision                                                         0.19 
   S655        Ever requested abortion since 2006                                                                          0.19 
   S656        Was the abortion performed                                                                                 99.39 
   S657        Reason to request abortion                                                                                 99.39 
   S708        Has ever wanted unsuccessfully a child                                                                     77.87 
   S709        How long have been waiting for a pregnancy                                                                 99.19 
   S710        Has ever sought fertility help to get pregnant                                                             99.19 
   S711        Reason given for not getting pregnant                                                                      99.71 
   S712        Respondent/partner receiving fertility treatment                                                           99.71 
   S713        Main reason not seeking fertility treatment                                                                99.48 
   S722        Respondent approves couples using contraception                                                             0.00 
   S723A       Heard FP at health insurance last 12 months                                                                 0.00 
   S805        Has respondent ever worked                                                                                 64.67 
   S813        Respondent salary average used for household consumption                                                   39.91 
   S814F       Final say on studying                                                                                       0.00 
   S814G       Final say on having sex                                                                                     0.00 
   S815B       House/apartment where respondent lives                                                                      0.00 
   S815C       Other house/apartment                                                                                       0.00 
   S815D       Owns jewelry                                                                                                0.00 
   S815E       Owns animals, cattle, chickens, pigs                                                                        0.00 
   SAREA       Area                                                                                                        0.00 
   SAREAM      Area ministry of health                                                                                     0.00 
   SDEPTO      Department                                                                                                  0.00 
   SMUNIP      Municipality                                                                                                0.00 
   SSUBREG     Subregions                                                                                                  0.00 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                            Variable                                                             Percent
                              Name      Variable Label                                           Missing

                             V000       Country code and phase                                     0.00 
                             V001       Cluster number                                             0.00 
                             V002       Household number                                           0.00 
                             V003       Respondent's line number                                   0.00 
                             V004       Ultimate area unit                                         0.00 
                             V005       Women's individual sample weight (6 decimals)              0.00 
                             V006       Month of interview                                         0.00 
                             V007       Year of interview                                          0.00 
                             V008       Date of interview (CMC)                                    0.00 
                             V008A      Date of interview Century Day Code (CDC)                   0.00 
                             V009       Respondent's month of birth                                0.00 
                             V010       Respondent's year of birth                                 0.00 
                             V011       Date of birth (CMC)                                        0.00 
                             V012       Respondent's current age                                   0.00 
                             V013       Age in 5-year groups                                       0.00 
                             V014       Completeness of age information                            0.00 
                             V015       Result of individual interview                             0.00 
                             V016       Day of interview                                           0.00 
                             V017       CMC start of calendar                                      0.00 
                             V018       Row of month of interview                                  0.00 
                             V019       Length of calendar                                         0.00 
                             V019A      Number of calendar columns                                 0.00 
                             V020       Ever-married sample                                        0.00 
                             V021       Primary sampling unit                                      0.00 
                             V022       Sample strata for sampling errors                          0.00 
                             V023       Stratification used in sample design                       0.00 
                             V024       Region                                                     0.00 
                             V025       Type of place of residence                                 0.00 
                             V027       Number of visits                                           0.00 
                             V028       Interviewer identification                                 0.00 
                             V030       Field supervisor                                           0.00 
                             V034       Line number of husband                                    24.79 
                             V044       Selected for Domestic Violence module                      0.00 
                             V101       Region                                                     0.00 
                             V102       Type of place of residence                                 0.00 
                             V104       Years lived in place of residence                          0.00 
                             V106       Highest educational level                                  0.00 
                             V107       Highest year of education                                  3.16 
                             V113       Source of drinking water                                   0.00 
                             V115       Time to get to water source                                0.00 
                             V116       Type of toilet facility                                    0.00 
                             V119       Household has: electricity                                 0.00 
                             V120       Household has: radio                                       0.00 
                             V121       Household has: television                                  0.00 
                             V122       Household has: refrigerator                                0.00 
                             V123       Household has: bicycle                                     0.00 
                             V124       Household has: motorcycle/scooter                          0.00 
